# แผนที่

## มาตราส่วนในระหว่าง
- 1:2000

## มาตราส่วน
- 1:1000

## กรุงเทพมหานคร
| ชื่อถนน | มาตราส่วน |
| ถ. พระราม ๑๐๘ | 1:5742 |
| ถ. พระราม ๑๐๙ | 1:5742 |
| ถ. พระราม ๑๑๐ | 1:5742 |
| ถ. พระราม ๑๑๑ | 1:5742 |
| ถ. พระราม ๑๑๒ | 1:5742 |
| ถ. พระราม ๑๑๓ | 1:5742 |
| ถ. พระราม ๑๑๔ | 1:5742 |
| ถ. พระราม ๑๑๕ | 1:5742 |
| ถ. พระราม ๑๑๖ | 1:5742 |
| ถ. พระราม ๑๑๗ | 1:5742 |
| ถ. พระราม ๑๑๘ | 1:5742 |
| ถ. พระราม ๑๑๙ | 1:5742 |
| ถ. พระราม ๑๒๐ | 1:5742 |
| ถ. พระราม ๑๒๑ | 1:5742 |
| ถ. พระราม ๑๒๒ | 1:5742 |
| ถ. พระราม ๑๒๓ | 1:5742 |
| ถ. พระราม ๑๒๔ | 1:5742 |
| ถ. พระราม ๑๒๕ | 1:5742 |
| ถ. พระราม ๑๒๖ | 1:5742 |
| ถ. พระราม ๑๒๗ | 1:5742 |
| ถ. พระราม ๑๒๘ | 1:5742 |
| ถ. พระราม ๑๒๙ | 1:5742 |
| ถ. พระราม ๑๓๐ | 1:5742 |
| ถ. พระราม ๑๓๑ | 1:5742 |
| ถ. พระราม ๑๓๒ | 1:5742 |
| ถ. พระราม ๑๓๓ | 1:5742 |
| ถ. พระราม ๑๓๔ | 1:5742 |
| ถ. พระราม ๑๓๕ | 1:5742 |
| ถ. พระราม ๑๓๖ | 1:5742 |
| ถ. พระราม ๑๓๗ | 1:5742 |
| ถ. พระราม ๑๓๘ | 1:5742 |
| ถ. พระราม ๑๓๙ | 1:5742 |
| ถ. พระราม ๑๔๐ | 1:5742 |
| ถ. พระราม ๑๔๑ | 1:5742 |
| ถ. พระราม ๑๔๒ | 1:5742 |
| ถ. พระราม ๑๔๓ | 1:5742 |
| ถ. พระราม ๑๔๔ | 1:5742 |
| ถ. พระราม ๑๔๕ | 1:5742 |
| ถ. พระราม ๑๔๖ | 1:5742 |
| ถ. พระราม ๑๔๗ | 1:5742 |
| ถ. พระราม ๑๔๘ | 1:5742 |
| ถ. พระราม ๑๔๙ | 1:5742 |
| ถ. พระราม ๑๕๐ | 1:5742 |
| ถ. พระราม ๑๕๑ | 1:5742 |
| ถ. พระราม ๑๕๒ | 1:5742 |
| ถ. พระราม ๑๕๓ | 1:5742 |
| ถ. พระราม ๑๕๔ | 1:5742 |
| ถ. พระราม ๑๕๕ | 1:5742 |
| ถ. พระราม ๑๕๖ | 1:5742 |
| ถ. พระราม ๑๕๗ | 1:5742 |
| ถ. พระราม ๑๕๘ | 1:5742 |
| ถ. พระราม ๑๕๙ | 1:5742 |
| ถ. พระราม ๑๖๐ | 1:5742 |
| ถ. พระราม ๑๖๑ | 1:5742 |
| ถ. พระราม ๑๖๒ | 1:5742 |
| ถ. พระราม ๑๖๓ | 1:5742 |
| ถ. พระราม ๑๖๔ | 1:5742 |
| ถ. พระราม ๑๖๕ | 1:5742 |
| ถ. พระราม ๑๖๖ | 1:5742 |
| ถ. พระราม ๑๖๗ | 1:5742 |
| ถ. พระราม ๑๖๘ | 1:5742 |
| ถ. พระราม ๑๖๙ | 1:5742 |
| ถ. พระราม ๑๗๐ | 1:5742 |
| ถ. พระราม ๑๗๑ | 1:5742 |
| ถ. พระราม ๑๗๒ | 1:5742 |
| ถ. พระราม ๑๗๓ | 1:5742 |
| ถ. พระราม ๑๗๔ | 1:5742 |
| ถ. พระราม ๑๗๕ | 1:5742 |
| ถ. พระราม ๑๗๖ | 1:5742 |
| ถ. พระราม ๑๗๗ | 1:5742 |
| ถ. พระราม ๑๗๘ | 1:5742 |
| ถ. พระราม ๑๗๙ | 1:5742 |
| ถ. พระราม ๑๘๐ | 1:5742 |
| ถ. พระราม ๑๘๑ | 1:5742 |
| ถ. พระราม ๑๘๒ | 1:5742 |
| ถ. พระราม ๑๘๓ | 1:5742 |
| ถ. พระราม ๑๘๔ | 1:5742 |
| ถ. พระราม ๑๘๕ | 1:5742 |
| ถ. พระราม ๑๘๖ | 1:5742 |
| ถ. พระราม ๑๘๗ | 1:5742 |
| ถ. พระราม ๑๘๘ | 1:5742 |
| ถ. พระราม ๑๘๙ | 1:5742 |
| ถ. พระราม ๑๙๐ | 1:5742 |
| ถ. พระราม ๑๙๑ | 1:5742 |
| ถ. พระราม ๑๙๒ | 1:5742 |
| ถ. พระราม ๑๙๓ | 1:5742 |
| ถ. พระราม ๑๙๔ | 1:5742 |
| ถ. พระราม ๑๙๕ | 1:5742 |
| ถ. พระราม ๑๙๖ | 1:5742 |
| ถ. พระราม ๑๙๗ | 1:5742 |
| ถ. พระราม ๑๙๘ | 1:5742 |
| ถ. พระราม ๑๙๙ | 1:5742 |
| ถ. พระราม ๒๐๐ | 1:5742 |
